Date,S&P 500,NASDAQ,TSLA,MSFT,NVDA,AMZN,GOOGL,META,V,AAPL
2024-03-27,5248.490234375,16399.51953125,179.8300018310547,421.42999267578125,90.25,179.8300018310547,150.8699951171875,493.8599853515625,279.0199890136719,173.30999755859375
2024-03-28,5254.35009765625,16379.4599609375,175.7899932861328,420.7200012207031,90.35600280761719,180.3800048828125,150.92999267578125,485.5799865722656,279.0799865722656,171.47999572753906
2024-04-01,5243.77001953125,16396.830078125,175.22000122070312,424.57000732421875,90.36299896240234,180.97000122070312,155.49000549316406,491.3500061035156,278.2799987792969,170.02999877929688
2024-04-02,5205.81005859375,16240.4501953125,166.6300048828125,421.44000244140625,89.4520034790039,180.69000244140625,154.55999755859375,497.3699951171875,278.44000244140625,168.83999633789062
2024-04-03,5211.490234375,16277.4599609375,168.3800048828125,420.45001220703125,88.96399688720703,182.41000366210938,154.9199981689453,506.739990234375,276.9599914550781,169.64999389648438
2024-04-04,5147.2099609375,16049.080078125,171.11000061035156,417.8800048828125,85.90499877929688,180.0,150.52999877929688,510.9200134277344,274.0,168.82000732421875
2024-04-05,5204.33984375,16248.51953125,164.89999389648438,425.5199890136719,88.00800323486328,185.07000732421875,152.5,527.3400268554688,277.1400146484375,169.5800018310547
2024-04-08,5202.39013671875,16253.9599609375,172.97999572753906,424.5899963378906,87.13300323486328,185.19000244140625,154.85000610351562,519.25,277.760009765625,168.4499969482422
2024-04-09,5209.91015625,16306.6396484375,176.8800048828125,426.2799987792969,85.35399627685547,185.6699981689453,156.60000610351562,516.9000244140625,276.7200012207031,169.6699981689453
2024-04-10,5160.64013671875,16170.3603515625,171.75999450683594,423.260009765625,87.03900146484375,185.9499969482422,156.13999938964844,519.8300170898438,274.4800109863281,167.77999877929688
2024-04-11,5199.06005859375,16442.19921875,174.60000610351562,427.92999267578125,90.61599731445312,189.0500030517578,159.41000366210938,523.1599731445312,275.67999267578125,175.0399932861328
2024-04-12,5123.41015625,16175.08984375,171.0500030517578,421.8999938964844,88.18599700927734,186.1300048828125,157.72999572753906,511.8999938964844,275.9599914550781,176.5500030517578
2024-04-15,5061.81982421875,15885.01953125,161.47999572753906,413.6400146484375,86.0009994506836,183.6199951171875,154.86000061035156,500.2300109863281,271.2799987792969,172.69000244140625
